Width,Length,Bedrooms,Bathrooms,District,Province,Price
6.0,24.5,5,6,tan binh,tp ho chi minh,35000000000
6.0,24.5,6,5,binh tan,tp ho chi minh,25000000000
7.0,21.0,4,4,tan binh,tp ho chi minh,36000000000
7.0,21.0,3,4,nha trang,khanh hoa,43900000000
7.0,21.0,2,2,long dien,ba ria-vung tau,7400000000
7.0,21.0,5,5,binh thanh,tp ho chi minh,33000000000
4.2,35.0,3,4,nam tu liem,ha noi,2650000000
7.0,21.0,4,4,quan 3,tp ho chi minh,57000000000
6.6,22.3,2,4,vung tau,ba ria-vung tau,17000000000
3.5,42.0,3,3,ha dong,ha noi,1950000000
7.0,21.0,3,2,cu chi,tp ho chi minh,1700000000
3.5,42.0,4,3,ha dong,ha noi,1950000000
5.2,28.2,4,4,tan binh,tp ho chi minh,15300000000
7.0,21.0,4,5,tay ho,ha noi,37000000000
7.0,21.0,5,5,phu nhuan,tp ho chi minh,16000000000
8.0,18.4,4,3,vinh,nghe an,5500000000
6.0,24.5,3,4,vung tau,ba ria-vung tau,11000000000
8.5,20.0,4,4,quan 10,tp ho chi minh,21800000000
4.6,37.0,2,4,bien hoa,dong nai,4800000000
8.5,20.0,8,8,quan 3,tp ho chi minh,34900000000
8.5,20.0,3,2,bien hoa,dong nai,8500000000
17.0,10.0,4,4,cau giay,ha noi,27000000000
10.0,17.0,4,4,quan 7,tp ho chi minh,24000000000
8.5,20.0,3,2,bien hoa,dong nai,5600000000
8.5,20.0,4,4,binh thanh,tp ho chi minh,13400000000
8.5,20.0,3,3,phu vang,thua thien-hue,3570000000
10.0,17.0,6,5,binh tan,tp ho chi minh,20000000000
6.3,27.0,4,4,vung tau,ba ria-vung tau,7800000000
8.5,20.0,3,3,hai chau,da nang,25000000000
5.0,34.0,2,2,thu dau mot,binh duong,3700000000
10.0,17.0,10,8,la gi,binh thuan,4500000000
17.0,10.0,5,5,ha dong,ha noi,12600000000
8.5,20.0,5,4,binh chanh,tp ho chi minh,2600000000
8.5,20.0,8,8,quan 3,tp ho chi minh,35000000000
10.0,17.0,3,3,thuy nguyen,hai phong,5000000000
6.3,27.0,4,4,vung tau,ba ria-vung tau,6300000000
6.4,26.5,4,4,vung tau,ba ria-vung tau,11200000000
17.0,10.0,6,6,ha dong,ha noi,12600000000
17.0,10.0,4,4,dong da,ha noi,15000000000
10.0,17.0,10,10,cau giay,ha noi,55000000000
5.0,34.0,3,1,da lat,lam dong,3950000000
10.0,17.0,10,8,la gi,binh thuan,3800000000
10.0,17.0,4,3,thanh xuan,ha noi,28600000000
10.0,17.0,6,6,phu nhuan,tp ho chi minh,6000000000
17.0,10.0,4,4,ha dong,ha noi,3230000000
10.0,17.0,3,4,bien hoa,dong nai,3600000000
10.0,17.0,4,4,vung tau,ba ria-vung tau,40000000000
8.5,20.0,18,3,lien chieu,da nang,15000000000
8.0,23.0,3,3,ngu hanh son,da nang,33000000000
8.0,23.0,3,3,quan 12,tp ho chi minh,6400000000
8.0,23.0,2,2,chau thanh,tien giang,2655000000
8.0,23.0,4,3,quan 12,tp ho chi minh,6500000000
7.65,24.0,4,3,vung tau,ba ria-vung tau,52000000000
8.0,23.0,3,4,quan 12,tp ho chi minh,6500000000
8.0,23.0,3,4,quan 12,tp ho chi minh,6400000000
8.0,23.0,3,3,chau thanh,tien giang,3200000000
8.0,23.0,2,2,chau thanh,tien giang,995000000
8.0,23.0,4,3,thanh khe,da nang,11000000000
9.2,20.0,30,3,son tra,da nang,40000000000
8.0,23.0,3,3,quan 12,tp ho chi minh,6500000000
11.5,16.0,4,3,tan binh,tp ho chi minh,33000000000
8.0,23.0,4,4,quan 12,tp ho chi minh,4000000000
8.0,23.0,4,4,quan 12,tp ho chi minh,6400000000
4.0,46.0,4,3,thu dau mot,binh duong,1800000000
9.2,20.0,4,3,vung tau,ba ria-vung tau,29000000000
8.0,23.0,1,1,hoang mai,ha noi,10700000000
7.65,24.0,4,3,vung tau,ba ria-vung tau,52000000000
8.0,23.0,4,3,tan phu,tp ho chi minh,23000000000
8.0,23.0,4,5,quan 7,tp ho chi minh,18900000000
7.65,24.0,4,3,vung tau,ba ria-vung tau,48000000000
8.0,23.0,2,2,binh tan,tp ho chi minh,10500000000
8.0,23.0,4,3,quan 12,tp ho chi minh,6400000000
8.0,23.0,4,4,quan 12,tp ho chi minh,6500000000
9.2,20.0,10,10,tan phu,tp ho chi minh,33800000000
8.0,23.0,4,3,pleiku,gia lai,3800000000
8.75,21.0,4,3,binh thanh,tp ho chi minh,32000000000
8.0,23.0,4,3,quan 12,tp ho chi minh,4000000000
8.0,23.0,5,3,quan 12,tp ho chi minh,6500000000
5.5,33.5,3,3,thu duc,tp ho chi minh,4800000000
8.0,23.0,20,3,chau thanh,tien giang,5000000000
8.0,23.0,2,1,buon ma thuot,dak lak,1220000000
8.0,23.0,25,3,binh thanh,tp ho chi minh,48000000000
48.0,12.0,4,5,phu nhuan,tp ho chi minh,6800000000
48.0,12.0,3,5,phu nhuan,tp ho chi minh,6450000000
36.0,16.0,4,5,binh chanh,tp ho chi minh,3000000000
48.0,12.0,4,5,phu nhuan,tp ho chi minh,6950000000
48.0,12.0,4,5,phu nhuan,tp ho chi minh,4650000000
48.0,12.0,5,6,phu nhuan,tp ho chi minh,7050000000
48.0,12.0,4,5,phu nhuan,tp ho chi minh,6550000000
40.0,18.0,5,6,phu quoc,kien giang,22500000000
48.0,15.0,5,6,tan phu,tp ho chi minh,3750000000
