Giá,Diện tích,Số phòng ngủ,Số nhà vệ sinh,Huyện,Tỉnh
7900000000.0,50.0,4.0,4.0,Thanh Trì,Hà Nội
11500000000.0,120.0,3.0,2.0,Bình Thạnh,Hồ Chí Minh
18500000000.0,104.0,0.0,0.0,Đan Phượng,Hà Nội
4450000000.0,79.0,2.0,2.0,Sơn Trà,Đà Nẵng
2600000000.0,59.0,2.0,1.0,Gia Lâm,Hà Nội
17300000000.0,96.0,0.0,0.0,Đan Phượng,Hà Nội
1950000000.0,230.0,0.0,0.0,Đức Hòa,Long An
28000000000.0,75.0,0.0,0.0,Đông Anh,Hà Nội
8000000000.0,120.0,3.0,3.0,Tân Phú,Hồ Chí Minh
6800000000.0,85.0,2.0,2.0,Bình Thạnh,Hồ Chí Minh
4350000000.0,93.0,3.0,2.0,Quận 9,Hồ Chí Minh
5700000000.0,86.0,2.0,2.0,Tân Phú,Hồ Chí Minh
3100000000.0,70.0,2.0,2.0,Quận 9,Hồ Chí Minh
3600000000.0,70.0,2.0,2.0,Quận 9,Hồ Chí Minh
35190000000.0,170.0,0.0,0.0,Hà Đông,Hà Nội
3750000000.0,75.0,2.0,2.0,Thủ Dầu Một,Bình Dương
16800000000.0,96.0,0.0,0.0,Đan Phượng,Hà Nội
19000000000.0,96.0,4.0,4.0,Đan Phượng,Hà Nội
3200000000.0,65.0,2.0,2.0,Gia Lâm,Hà Nội
53000000.0,112.0,3.0,2.0,Văn Giang,Hưng Yên
140000000000.0,29235.0,0.0,0.0,Bảo Lộc,Lâm Đồng
68000000.0,46.0,1.0,1.0,Gia Lâm,Hà Nội
3200000000.0,70.0,3.0,2.0,Quận 9,Hồ Chí Minh
1600000000.0,41.0,2.0,2.0,Dĩ An,Bình Dương
950000000.0,80.0,0.0,0.0,An Lão,Hải Phòng
1800000000.0,56.25,2.0,1.0,Dĩ An,Bình Dương
7400000000.0,60.0,4.0,4.0,Phủ Lý,Hà Nam
10000000000.0,70.0,5.0,3.0,Văn Giang,Hưng Yên
45000000000.0,142.0,5.0,5.0,Đông Anh,Hà Nội
19900000000.0,71.0,2.0,2.0,Quận 2,Hồ Chí Minh
9250000000.0,118.0,3.0,3.0,Sơn Trà,Đà Nẵng
3300000000.0,75.0,2.0,2.0,Bình Tân,Hồ Chí Minh
4800000000.0,120.0,3.0,3.0,Biên Hòa,Đồng Nai
4179999999.9999995,76.0,2.0,2.0,Hải Châu,Đà Nẵng
4300000000.0,70.0,2.0,2.0,Sơn Trà,Đà Nẵng
6450000000.0,86.0,3.0,2.0,Gia Lâm,Hà Nội
21500000000.0,118.0,8.0,4.0,Văn Giang,Hưng Yên
5680000000.0,63.0,4.0,3.0,Lê Chân,Hải Phòng
7400000000.0,82.0,2.0,2.0,Sơn Trà,Đà Nẵng
8500000000.0,68.0,4.0,4.0,Văn Giang,Hưng Yên
2020000000.0,45.0,2.0,1.0,Phủ Lý,Hà Nam
5800000000.0,80.0,2.0,2.0,Quận 9,Hồ Chí Minh
10190000000.0,182.0,0.0,0.0,Quận 9,Hồ Chí Minh
2800000000.0,32.7,0.0,0.0,Cát Hải,Hải Phòng
4500000000.0,75.0,2.0,2.0,Quận 9,Hồ Chí Minh
4770000000.0,88.3,3.0,0.0,Sơn Trà,Đà Nẵng
8800000000.0,78.5,0.0,0.0,Văn Giang,Hưng Yên
17200000000.0,108.0,0.0,0.0,Sơn Trà,Đà Nẵng
18000000000.0,172.5,5.0,5.0,Quận 9,Hồ Chí Minh
819000000.0,145.0,0.0,0.0,Bảo Lâm,Lâm Đồng
23500000000.0,121.0,3.0,0.0,Hoàng Mai,Hà Nội
5950000000.0,94.0,3.0,2.0,Nam Từ Liêm,Hà Nội
1650000000.0,53.0,2.0,2.0,Dĩ An,Bình Dương
11500000000.0,13322.0,0.0,0.0,Bảo Lâm,Lâm Đồng
17070000000.0,96.0,6.0,4.0,Đan Phượng,Hà Nội
2200000000.0,37.4,1.0,1.0,Quận 7,Hồ Chí Minh
17000000000.0,96.0,6.0,6.0,Đan Phượng,Hà Nội
2700000000.0,60.0,2.0,2.0,Quận 9,Hồ Chí Minh
3500000000.0,55.0,2.0,2.0,Nam Từ Liêm,Hà Nội
2000000000.0,56.0,2.0,2.0,Dĩ An,Bình Dương
1700000000.0,100.0,0.0,0.0,Củ Chi,Hồ Chí Minh
5500000000.0,1075.0,0.0,0.0,Đức Huệ,Long An
4050000000.0,76.0,2.0,2.0,Hải Châu,Đà Nẵng
19500000000.0,75.0,0.0,0.0,Đông Anh,Hà Nội
18500000000.0,75.0,0.0,0.0,Đông Anh,Hà Nội
15340000000.0,108.0,5.0,6.0,Sơn Trà,Đà Nẵng
7900000000.0,60.8,4.0,3.0,Đông Anh,Hà Nội
27500000000.0,85.0,6.0,5.0,Đông Anh,Hà Nội
1750000000.0,33.0,1.0,1.0,Gia Lâm,Hà Nội
31000000000.0,90.2,14.0,16.0,Phú Nhuận,Hồ Chí Minh
16800000000.0,350.0,0.0,0.0,Mê Linh,Hà Nội
15900000000.0,42.0,3.0,3.0,Đống Đa,Hà Nội
11600000000.0,300.0,4.0,4.0,Bến Lức,Long An
3500000000.0,63.0,2.0,2.0,Văn Giang,Hưng Yên
6350000000.0,105.0,3.0,2.0,Nhà Bè,Hồ Chí Minh
49710000000.0,14760.0,1.0,1.0,Bảo Lộc,Lâm Đồng
22000000000.0,145.0,3.0,2.0,Tây Hồ,Hà Nội
9200000000.0,117.8,3.0,3.0,Sơn Trà,Đà Nẵng
2380000000.0,46.0,3.0,2.0,Thủ Đức,Hồ Chí Minh
19000000000.0,140.0,3.0,2.0,Quận 2,Hồ Chí Minh
20200000000.0,133.0,5.0,4.0,Hà Đông,Hà Nội
12500000000.0,37.0,4.0,4.0,Đống Đa,Hà Nội
5770000000.0,155.9,0.0,0.0,Thạch Thất,Hà Nội
3360000000.0,84.0,2.0,0.0,Vũng Tàu,Bà Rịa Vũng Tàu
3100000000.0,61.8,2.0,2.0,Sơn Trà,Đà Nẵng
9000000000.0,160.0,3.0,0.0,Tân Phú,Hồ Chí Minh
28500000000.0,70.0,7.0,7.0,Hai Bà Trưng,Hà Nội
4500000000.0,95.0,2.0,0.0,Sơn Trà,Đà Nẵng
15700000000.0,81.0,2.0,2.0,Quận 2,Hồ Chí Minh
4500000000.0,88.0,2.0,2.0,Tân Phú,Hồ Chí Minh
10300000000.0,75.0,2.0,2.0,Quận 2,Hồ Chí Minh
3000000000.0,60.0,2.0,2.0,Quận 9,Hồ Chí Minh
1950000000.0,70.0,2.0,2.0,Thủ Dầu Một,Bình Dương
14900000000.0,96.0,0.0,0.0,Đan Phượng,Hà Nội
3000000000.0,68.0,2.0,2.0,Quận 8,Hồ Chí Minh
2049999999.9999998,51.6,2.0,2.0,Quận 9,Hồ Chí Minh
20000000000.0,120.0,0.0,0.0,Hà Đông,Hà Nội
21600000000.0,120.0,0.0,0.0,Văn Giang,Hưng Yên
15000000000.0,70.0,2.0,2.0,Quận 2,Hồ Chí Minh
3210000000.0,70.0,2.0,2.0,Quận 9,Hồ Chí Minh
12500000000.0,51.0,4.0,4.0,Hoàng Mai,Hà Nội
6500000000.0,52.0,1.0,1.0,Quận 2,Hồ Chí Minh
6800000000.0,48.0,6.0,6.0,Văn Giang,Hưng Yên
7500000000.0,121.0,2.0,2.0,Tân Phú,Hồ Chí Minh
80000000000.0,400.0,5.0,5.0,Quận 2,Hồ Chí Minh
9200000000.0,90.0,4.0,3.0,Thủ Dầu Một,Bình Dương
17000000000.0,63.0,0.0,0.0,Đông Anh,Hà Nội
