Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Đường vào,Huyện,Tỉnh
4500000000.0,32.0,3,4,,Hà Đông,Hà Nội
7300000000.0,128.0,5,4,5.0,Nhà Bè,Hồ Chí Minh
10500000000.0,45.0,5,4,,Hà Đông,Hà Nội
16000000000.0,65.0,9,9,,Tây Hồ,Hà Nội
10800000000.0,40.0,4,4,6.0,Hai Bà Trưng,Hà Nội
13500000000.0,42.0,10,10,3.5,Nam Từ Liêm,Hà Nội
3550000000.0,31.0,4,4,,Thanh Trì,Hà Nội
6900000000.0,48.0,4,3,8.0,Tân Phú,Hồ Chí Minh
6400000000.0,35.0,4,4,5.0,Thanh Trì,Hà Nội
22000000000.0,230.0,7,5,16.0,Quận 7,Hồ Chí Minh
16000000000.0,339.2,6,7,4.0,Nha Trang,Khánh Hòa
3950000000.0,54.0,5,3,,Bình Tân,Hồ Chí Minh
11000000000.0,60.8,11,11,,Hai Bà Trưng,Hà Nội
5600000000.0,106.0,3,2,,Hoàng Mai,Hà Nội
6700000000.0,235.7,4,4,5.0,Thủ Dầu Một,Bình Dương
9100000000.0,46.0,3,4,,Hà Đông,Hà Nội
7600000000.0,30.0,3,4,3.0,Cầu Giấy,Hà Nội
4120000000.0,171.9,4,4,12.0,Thuận An,Bình Dương
2680000000.0,41.49,2,2,7.0,Nha Trang,Khánh Hòa
34500000000.0,106.0,25,4,,Long Biên,Hà Nội
13000000000.0,50.0,4,4,,Bình Thạnh,Hồ Chí Minh
6200000000.0,44.0,3,4,3.5,Quận 7,Hồ Chí Minh
7950000000.0,40.0,3,4,6.0,Phú Nhuận,Hồ Chí Minh
1950000000.0,203.0,3,2,5.0,Hiệp Hòa,Bắc Giang
19000000000.0,61.0,12,7,,Long Biên,Hà Nội
6000000000.0,41.0,4,5,4.0,Gò Vấp,Hồ Chí Minh
8590000000.0,40.0,3,3,,Ba Đình,Hà Nội
15300000000.0,48.0,4,4,4.5,Hai Bà Trưng,Hà Nội
6600000000.0,35.0,3,3,,Bắc Từ Liêm,Hà Nội
5750000000.0,35.0,4,4,3.5,Bắc Từ Liêm,Hà Nội
9240000000.0,42.0,3,4,6.0,Long Biên,Hà Nội
5500000000.0,69.9,4,4,,Thủ Đức,Hồ Chí Minh
10500000000.0,112.0,4,5,8.0,Nhà Bè,Hồ Chí Minh
21000000000.0,242.8,4,4,,Gò Vấp,Hồ Chí Minh
4250000000.0,34.0,3,4,5.0,Hà Đông,Hà Nội
